iter	Passed	Remaining
0	1	158
1	2	125
2	3	113
3	4	101
4	5	98
5	6	94
6	6	92
7	7	89
8	8	88
9	9	86
10	10	84
11	11	83
12	12	81
13	13	79
14	14	79
15	14	78
16	16	79
17	17	79
18	19	83
19	20	82
20	21	80
21	22	78
22	23	77
23	24	76
24	25	75
25	26	74
26	26	72
27	27	71
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	34	63
35	34	62
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	44	49
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	29
69	65	28
70	66	27
71	67	26
72	67	25
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	11
87	80	11
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	85	5
94	86	4
95	87	3
96	88	2
97	89	1
98	90	0
99	91	0
